,carat,cut,cut_ord,color,clarity,clarity_ord,price
5683,0.51,Very Good,3,F,VS1,4,1680
5684,1.27,Ideal,5,E,SI2,2,7023
5685,0.8,Very Good,3,E,SI2,2,2715
5686,0.9,Very Good,3,E,SI2,2,4288
5687,1.09,Premium,4,E,SI2,2,4444
5688,0.55,Ideal,5,F,VVS2,6,2242
5689,1.06,Ideal,5,E,SI1,3,6114
5690,0.4,Ideal,5,F,VVS1,7,1323
5691,0.7,Fair,1,G,VS1,4,2290
5692,0.35,Ideal,5,D,VS2,5,1063
5693,1.17,Ideal,5,G,VS2,5,7548
5694,1.02,Ideal,5,F,SI2,2,4851
5695,1.13,Premium,4,I,VS2,5,4430
5696,0.38,Ideal,5,G,SI2,2,566
5697,0.9,Very Good,3,H,VS2,5,4328
5698,0.3,Ideal,5,D,VS2,5,911
5699,2.01,Very Good,3,D,SI2,2,17079
5700,0.7,Premium,4,E,SI1,3,2777
5701,1.52,Premium,4,G,VS2,5,13282
5702,0.55,Ideal,5,D,VS2,5,1673
5703,1.01,Very Good,3,I,VS2,5,5067
5704,0.83,Ideal,5,E,SI1,3,4024
5705,1.04,Premium,4,F,SI1,3,5724
5706,0.51,Ideal,5,G,VS1,4,1668
5707,0.7,Ideal,5,G,VS2,5,3253
5708,0.53,Ideal,5,D,SI1,3,1587
5709,1.08,Premium,4,F,SI1,3,4864
5710,0.91,Very Good,3,G,SI2,2,3531
5711,0.52,Ideal,5,D,SI1,3,1651
5712,0.91,Good,2,E,SI1,3,4256
5713,0.9,Good,2,G,SI2,2,3060
5714,1.02,Very Good,3,F,SI2,2,3018
5715,1.09,Fair,1,I,SI1,3,4273
5716,1.55,Ideal,5,I,VS2,5,11574
5717,0.32,Premium,4,D,VS2,5,758
5718,0.3,Ideal,5,G,VVS1,7,1013
5719,0.53,Ideal,5,E,VS2,5,1607
5720,0.61,Ideal,5,J,SI1,3,1143
5721,0.31,Ideal,5,D,SI1,3,533
5722,1.24,Ideal,5,I,SI2,2,3312
5723,0.9,Very Good,3,F,SI1,3,4435
5724,1.04,Premium,4,H,SI2,2,4368
5725,1.19,Premium,4,I,SI2,2,4498
5726,0.41,Ideal,5,D,VS2,5,1076
5727,0.71,Premium,4,H,VS2,5,2181
5728,2.09,Premium,4,H,SI2,2,17156
5729,0.7,Very Good,3,G,SI1,3,2517
5730,0.34,Ideal,5,E,VVS1,7,1014
5731,0.32,Very Good,3,F,VS2,5,773
5732,0.9,Premium,4,E,SI1,3,4385
5733,0.51,Good,2,G,VVS2,6,1885
5734,1.7,Good,2,G,VS1,4,14445
5735,0.51,Very Good,3,G,VS2,5,1443
5736,1.26,Ideal,5,F,VS2,5,10709
5737,1.12,Ideal,5,H,SI1,3,5363
5738,0.32,Ideal,5,G,SI2,2,450
5739,1.01,Ideal,5,G,VS2,5,6108
5740,0.5,Ideal,5,F,VVS2,6,2283
5741,1.05,Very Good,3,E,VS1,4,7969
5742,0.3,Ideal,5,E,SI1,3,499
5743,0.4,Premium,4,E,VS1,4,1125
5744,0.54,Very Good,3,F,VS2,5,1639
5745,1.5,Premium,4,H,VS2,5,11194
5746,0.25,Very Good,3,G,VVS1,7,457
5747,0.4,Very Good,3,D,SI2,2,798
5748,0.52,Very Good,3,E,VS1,4,1822
5749,0.31,Premium,4,H,VVS2,6,802
5750,0.32,Premium,4,G,VS2,5,720
5751,0.74,Good,2,G,VS2,5,2322
5752,1,Premium,4,E,SI2,2,4014
5753,0.39,Good,2,G,VVS1,7,1041
5754,0.91,Premium,4,F,SI2,2,3845
5755,0.9,Premium,4,G,SI1,3,3669
5756,0.35,Ideal,5,J,VS2,5,446
5757,0.71,Premium,4,F,VS1,4,3082
5758,0.42,Very Good,3,E,SI2,2,653
5759,1.21,Very Good,3,I,VS2,5,5387
5760,0.3,Ideal,5,F,IF,8,886
5761,0.31,Good,2,D,SI1,3,571
5762,0.51,Premium,4,F,VS1,4,1799
5763,2.14,Fair,1,H,I1,1,6328
5764,0.5,Premium,4,E,VS2,5,1654
5765,1.01,Good,2,H,VS2,5,5166
5766,0.4,Good,2,F,SI1,3,687
5767,0.41,Premium,4,F,VS1,4,1076
5768,0.65,Ideal,5,E,SI1,3,1862
5769,1.51,Very Good,3,F,SI1,3,10838
5770,1,Good,2,D,SI2,2,4543
5771,0.7,Premium,4,F,SI1,3,2161
5772,0.71,Very Good,3,F,VVS1,7,3626
5773,0.27,Ideal,5,D,IF,8,893
5774,0.54,Very Good,3,H,SI2,2,1099
5775,1.04,Ideal,5,J,SI1,3,4059
5776,0.39,Premium,4,J,VVS1,7,921
5777,1.71,Ideal,5,G,VS1,4,17049
5778,0.43,Very Good,3,G,VS1,4,998
5779,0.33,Ideal,5,D,VS1,4,978
5780,0.51,Ideal,5,F,SI2,2,1139
5781,1.21,Premium,4,J,VS1,4,5489
5782,0.59,Ideal,5,D,VVS1,7,3791
5783,1.02,Premium,4,F,VVS2,6,9103
5784,0.9,Very Good,3,D,VS2,5,4668
5785,0.55,Ideal,5,E,VS1,4,2001
5786,0.52,Premium,4,E,VS2,5,1576
5787,0.34,Ideal,5,E,SI1,3,637
5788,0.61,Premium,4,H,SI1,3,1588
5789,1.04,Ideal,5,I,SI1,3,4135
5790,1.21,Premium,4,H,SI2,2,5218
5791,2.49,Fair,1,J,I1,1,6289
5792,0.82,Premium,4,F,SI2,2,2723
5793,0.4,Premium,4,F,VS2,5,1080
5794,0.71,Very Good,3,H,VS2,5,2495
5795,0.73,Ideal,5,E,SI1,3,3453
5796,0.3,Very Good,3,I,VS1,4,473
5797,0.51,Ideal,5,E,VS1,4,1708
5798,0.7,Ideal,5,G,VS2,5,2723
5799,0.9,Good,2,F,SI2,2,3267
5800,1.01,Good,2,G,SI1,3,5021
5801,0.89,Good,2,H,SI2,2,3002
5802,0.53,Ideal,5,E,VS2,5,1690
5803,1.28,Premium,4,D,SI2,2,6936
5804,0.43,Ideal,5,D,VS2,5,1056
5805,0.3,Very Good,3,G,VVS1,7,1013
5806,1.06,Premium,4,F,SI1,3,5236
5807,0.9,Premium,4,D,VS2,5,5001
5808,0.51,Ideal,5,F,VS1,4,1632
5809,1.01,Good,2,F,SI1,3,4899
5810,0.32,Premium,4,H,VS1,4,720
5811,0.32,Ideal,5,D,SI1,3,756
5812,0.71,Very Good,3,D,VS2,5,3096
5813,1.52,Very Good,3,I,VS1,4,10032
5814,0.42,Very Good,3,F,VS2,5,790
5815,1.02,Premium,4,G,VVS1,7,8768
5816,0.55,Ideal,5,E,SI1,3,1551
5817,1.53,Ideal,5,G,SI2,2,9468
5818,1.21,Ideal,5,H,VS1,4,7047
5819,0.55,Premium,4,D,SI1,3,1728
5820,1,Good,2,H,VS1,4,5544
5821,1.01,Ideal,5,F,SI2,2,4416
5822,0.51,Premium,4,D,SI1,3,1574
5823,0.6,Good,2,E,VVS2,6,2511
5824,0.29,Premium,4,E,SI1,3,548
5825,0.61,Premium,4,G,SI1,3,1255
5826,1.32,Ideal,5,G,VS1,4,11079
5827,1.11,Premium,4,E,VS2,5,7619
5828,0.98,Fair,1,G,I1,1,1749
5829,0.51,Ideal,5,E,VVS2,6,2559
5830,2.05,Very Good,3,F,SI2,2,15017
5831,0.42,Ideal,5,D,VS1,4,1350
5832,0.52,Ideal,5,F,VVS1,7,2778
5833,0.73,Premium,4,F,SI1,3,2527
5834,0.3,Ideal,5,I,VVS1,7,709
5835,0.51,Ideal,5,E,VS2,5,1656
5836,1.28,Ideal,5,H,VVS1,7,8928
5837,0.51,Ideal,5,F,SI1,3,1406
5838,0.33,Very Good,3,D,VVS2,6,1050
5839,0.71,Very Good,3,E,SI1,3,2489
5840,0.34,Ideal,5,E,VS2,5,745
5841,0.75,Ideal,5,E,VS1,4,3555
5842,0.52,Ideal,5,F,VVS1,7,2841
5843,0.46,Very Good,3,F,SI1,3,1006
5844,0.23,Very Good,3,D,VVS1,7,530
5845,0.51,Very Good,3,G,VS2,5,1443
5846,0.9,Very Good,3,H,VS1,4,4685
5847,0.3,Ideal,5,E,VVS2,6,742
5848,0.3,Ideal,5,G,IF,8,863
5849,0.78,Very Good,3,E,SI1,3,3055
5850,0.42,Premium,4,D,SI1,3,810
5851,1.12,Premium,4,H,SI1,3,5291
5852,0.6,Ideal,5,D,VS2,5,2125
5853,1.01,Premium,4,J,SI2,2,3499
5854,0.42,Good,2,D,SI2,2,653
5855,0.81,Ideal,5,E,SI2,2,3050
5856,1,Premium,4,E,VS2,5,6600
5857,3.01,Premium,4,J,SI2,2,18710
5858,1.01,Ideal,5,G,VS2,5,6618
5859,0.3,Premium,4,E,VS2,5,844
5860,0.31,Ideal,5,F,IF,8,901
5861,0.75,Ideal,5,E,VS2,5,3435
5862,1.21,Ideal,5,J,VS1,4,5324
5863,0.31,Ideal,5,D,VS2,5,734
5864,0.5,Ideal,5,E,SI1,3,1331
5865,0.3,Ideal,5,E,VS2,5,621
5866,1.5,Good,2,D,SI1,3,7980
5867,1.06,Ideal,5,D,SI2,2,4682
5868,1.52,Very Good,3,I,SI1,3,7506
5869,1,Premium,4,D,SI2,2,4626
5870,1.01,Premium,4,G,VS2,5,5864
5871,0.33,Premium,4,E,VS2,5,723
5872,0.55,Ideal,5,G,VS2,5,1556
5873,0.44,Ideal,5,F,VVS1,7,1319
5874,0.3,Premium,4,H,SI1,3,540
5875,0.31,Ideal,5,E,VS2,5,872
5876,0.34,Premium,4,F,SI1,3,727
5877,0.38,Ideal,5,F,VVS1,7,1200
5878,1.54,Premium,4,D,VS2,5,16736
5879,1.42,Ideal,5,I,VS2,5,8173
5880,2,Very Good,3,F,SI1,3,15851
5881,1.54,Premium,4,G,SI1,3,12044
5882,0.5,Good,2,H,VVS1,7,1596
5883,1.4,Premium,4,F,VS2,5,11368
5884,1,Ideal,5,I,SI2,2,3276
5885,1.21,Very Good,3,G,VS2,5,7787
5886,0.52,Very Good,3,E,VS1,4,1601
5887,1.54,Premium,4,D,SI1,3,13316
5888,1,Good,2,E,SI1,3,5384
5889,0.7,Very Good,3,H,VS1,4,2421
5890,0.34,Ideal,5,G,VS2,5,765
5891,1.15,Ideal,5,G,VS2,5,5564
5892,0.33,Very Good,3,G,SI1,3,492
5893,0.84,Fair,1,D,SI2,2,2167
5894,0.76,Ideal,5,G,VS1,4,3372
5895,1.01,Premium,4,E,VS2,5,6787
5896,0.83,Premium,4,E,VS2,5,3625
5897,0.53,Premium,4,E,VS2,5,1721
5898,1,Very Good,3,D,SI2,2,4661
5899,1.2,Very Good,3,H,SI1,3,6019
5900,0.86,Ideal,5,D,SI2,2,3284
5901,0.8,Very Good,3,E,SI1,3,3050
5902,2.04,Ideal,5,G,SI1,3,18663
5903,0.72,Ideal,5,J,SI1,3,1864
5904,0.3,Ideal,5,G,VVS2,6,684
5905,0.5,Good,2,J,SI1,3,877
5906,0.3,Good,2,E,VVS1,7,739
5907,0.39,Very Good,3,D,VS2,5,702
5908,1.06,Ideal,5,G,VS2,5,6548
5909,1,Good,2,E,VS2,5,6272
5910,0.3,Ideal,5,F,VS2,5,776
5911,0.9,Fair,1,I,VVS2,6,3074
5912,2.72,Ideal,5,J,SI2,2,17801
5913,1.04,Ideal,5,G,SI2,2,4375
5914,1.09,Good,2,F,SI2,2,5167
5915,0.48,Good,2,G,VS1,4,1228
5916,1.2,Ideal,5,G,VVS1,7,9570
5917,0.31,Very Good,3,G,SI1,3,462
5918,0.42,Good,2,F,SI1,3,722
5919,0.55,Premium,4,E,SI2,2,1273
5920,0.9,Very Good,3,I,VS2,5,3445
5921,0.77,Very Good,3,D,VS2,5,3787
5922,0.31,Premium,4,J,VS2,5,488
5923,0.47,Ideal,5,F,VVS1,7,2113
5924,0.33,Ideal,5,E,VVS2,6,917
5925,1.24,Ideal,5,H,SI1,3,6095
5926,0.25,Very Good,3,F,IF,8,526
5927,0.36,Ideal,5,I,VS2,5,556
5928,0.5,Premium,4,G,SI1,3,1286
5929,2.06,Premium,4,G,SI2,2,16437
5930,0.43,Very Good,3,D,VS2,5,931
5931,0.43,Ideal,5,G,IF,8,1318
5932,0.91,Very Good,3,I,VS1,4,3734
5933,0.52,Good,2,G,SI2,2,1049
5934,0.55,Ideal,5,D,VS2,5,2224
5935,1.53,Very Good,3,F,VS1,4,11379
5936,0.62,Ideal,5,G,IF,8,3378
5937,0.3,Premium,4,I,SI1,3,506
5938,0.54,Ideal,5,D,VS2,5,1993
5939,0.62,Premium,4,E,VVS2,6,2618
5940,1,Premium,4,G,SI2,2,3640
5941,0.7,Premium,4,F,SI1,3,2463
5942,1.02,Premium,4,F,VS2,5,6333
5943,0.5,Very Good,3,F,VS1,4,1550
5944,0.52,Premium,4,H,VS1,4,1577
5945,0.5,Premium,4,G,VVS2,6,1909
5946,0.55,Premium,4,F,SI2,2,1175
5947,0.77,Premium,4,F,VS2,5,3218
5948,0.5,Premium,4,E,SI1,3,1314
5949,0.8,Premium,4,J,SI1,3,2088
5950,0.42,Ideal,5,F,VVS2,6,1142
5951,0.91,Premium,4,H,SI2,2,3363
5952,0.65,Premium,4,D,SI1,3,2134
5953,1,Good,2,E,SI1,3,4573
5954,1.08,Ideal,5,E,VVS2,6,10300
5955,1.02,Ideal,5,F,VS1,4,8024
5956,2.68,Very Good,3,I,I1,1,9665
5957,0.3,Ideal,5,F,SI1,3,641
5958,0.55,Very Good,3,H,VVS1,7,1881
5959,1.58,Ideal,5,E,VS2,5,15579
5960,0.78,Very Good,3,D,SI1,3,2945
5961,1.01,Good,2,J,SI1,3,3665
5962,0.71,Ideal,5,J,SI1,3,1889
5963,0.36,Good,2,E,SI2,2,648
5964,1.04,Premium,4,F,SI1,3,4770
5965,0.4,Ideal,5,F,VS2,5,975
5966,1.07,Ideal,5,E,VVS2,6,12031
5967,1.23,Ideal,5,I,SI2,2,4773
5968,1.79,Premium,4,I,VS1,4,12985
5969,1,Ideal,5,J,VS1,4,4032
5970,1.02,Ideal,5,D,SI1,3,6158
5971,0.6,Premium,4,D,SI1,3,2106
5972,1.2,Ideal,5,G,VVS2,6,9785
5973,0.31,Ideal,5,G,VVS2,6,907
5974,0.53,Ideal,5,G,VS2,5,1607
5975,1.55,Good,2,G,I1,1,4965
5976,1.04,Premium,4,G,VS2,5,6709
5977,1.53,Premium,4,E,VS2,5,16049
5978,0.31,Ideal,5,H,VVS2,6,802
5979,1.3,Ideal,5,H,VVS1,7,9232
5980,1.02,Ideal,5,D,VS1,4,8181
5981,0.71,Very Good,3,G,SI1,3,2604
5982,0.39,Ideal,5,G,VS1,4,1008
5983,0.71,Very Good,3,E,VS2,5,2954
5984,1.12,Ideal,5,G,VS1,4,7970
5985,0.7,Ideal,5,D,SI2,2,2553
5986,1.51,Ideal,5,G,VS2,5,13234
5987,0.41,Ideal,5,D,SI1,3,791
5988,1.02,Premium,4,J,VS2,5,3513
5989,0.33,Ideal,5,D,SI1,3,567
5990,0.52,Very Good,3,E,VS2,5,1689
5991,0.35,Ideal,5,D,VS2,5,1063
5992,1.59,Very Good,3,I,SI1,3,9925
5993,0.32,Ideal,5,G,VVS2,6,730
5994,0.73,Ideal,5,E,VS1,4,3510
5995,0.36,Ideal,5,H,VVS1,7,764
5996,0.7,Fair,1,F,SI2,2,2035
5997,1.83,Premium,4,G,I1,1,6313
5998,0.58,Ideal,5,G,SI2,2,1134
5999,0.35,Ideal,5,G,IF,8,1001
6000,1.33,Very Good,3,I,VS2,5,6203
6001,0.31,Ideal,5,E,VS1,4,734
6002,0.32,Very Good,3,G,VS2,5,720
6003,0.7,Good,2,H,VS2,5,2352
6004,1.01,Very Good,3,F,VS2,5,5988
6005,0.5,Premium,4,G,SI2,2,1031
6006,0.31,Ideal,5,G,VVS2,6,907
6007,0.56,Ideal,5,D,SI1,3,1708
6008,0.31,Ideal,5,F,IF,8,979
6009,1.89,Very Good,3,D,SI2,2,15594
6010,1.64,Premium,4,I,SI1,3,8716
6011,1.01,Good,2,E,VS2,5,6399
6012,0.46,Fair,1,I,VS2,5,855
6013,0.55,Premium,4,H,VS2,5,1270
6014,0.3,Very Good,3,D,SI1,3,552
6015,1.01,Ideal,5,G,VS2,5,6855
6016,0.37,Ideal,5,H,SI1,3,684
6017,0.9,Very Good,3,I,SI1,3,3271
6018,0.93,Fair,1,G,SI1,3,3358
6019,1,Premium,4,G,SI2,2,3713
6020,1.12,Very Good,3,I,VS2,5,4914
6021,1.02,Very Good,3,G,VS2,5,6906
6022,0.58,Ideal,5,E,VVS2,6,2694
6023,1.52,Ideal,5,I,IF,8,10419
6024,0.39,Ideal,5,F,VVS1,7,1129
6025,0.35,Good,2,D,SI1,3,739
6026,1.17,Ideal,5,H,SI1,3,5751
6027,0.34,Ideal,5,H,VS1,4,765
6028,0.51,Ideal,5,D,VS2,5,1787
6029,0.7,Ideal,5,I,VS2,5,2154
6030,0.31,Ideal,5,F,VS2,5,625
6031,0.32,Ideal,5,G,VVS2,6,936
6032,0.37,Ideal,5,E,VS1,4,876
6033,0.41,Ideal,5,G,VS1,4,899
6034,1.09,Ideal,5,H,VS2,5,6453
6035,0.55,Ideal,5,E,VS2,5,1741
6036,1.01,Premium,4,G,SI1,3,4805
6037,2.52,Premium,4,I,SI1,3,18252
6038,0.33,Ideal,5,F,VS2,5,666
6039,1.23,Ideal,5,G,VVS2,6,10304
6040,1.01,Very Good,3,J,SI1,3,3952
6041,0.26,Ideal,5,E,VVS1,7,599
6042,0.53,Very Good,3,E,VS1,4,1844
6043,0.43,Premium,4,G,VS2,5,1113
6044,0.3,Premium,4,G,IF,8,1071
6045,0.64,Ideal,5,I,IF,8,1991
6046,1.01,Ideal,5,E,SI1,3,5599
6047,1.01,Very Good,3,H,SI2,2,4262
6048,0.32,Ideal,5,E,SI1,3,528
6049,0.5,Premium,4,E,VS2,5,1559
6050,1.2,Ideal,5,G,VVS2,6,11530
6051,0.56,Good,2,F,VS1,4,1712
6052,1.33,Premium,4,F,SI2,2,5288
6053,1.13,Very Good,3,H,SI2,2,4537
6054,0.43,Very Good,3,E,VVS1,7,1433
6055,0.28,Very Good,3,F,VVS2,6,642
6056,1,Very Good,3,E,VS2,5,6315
6057,0.38,Premium,4,D,VVS1,7,1400
6058,1.52,Premium,4,D,SI1,3,10512
6059,0.53,Good,2,E,VS2,5,1422
6060,0.72,Premium,4,F,SI1,3,2777
6061,1,Very Good,3,E,VS2,5,6285
6062,0.4,Premium,4,G,SI1,3,900
6063,0.71,Premium,4,E,VS2,5,2982
6064,1.51,Ideal,5,I,VS2,5,9891
6065,0.56,Ideal,5,D,VS2,5,1963
6066,0.33,Ideal,5,E,VS2,5,928
6067,0.71,Premium,4,F,VS1,4,2920
6068,0.79,Premium,4,G,SI2,2,1877
6069,0.4,Ideal,5,G,SI2,2,573
6070,1.03,Premium,4,H,VS1,4,5849
6071,1.01,Ideal,5,E,SI1,3,5590
6072,1.02,Premium,4,F,SI2,2,3996
6073,0.33,Ideal,5,G,VS1,4,854
6074,0.34,Ideal,5,E,VVS2,6,838
6075,0.34,Fair,1,E,VVS1,7,1012
6076,1.01,Very Good,3,E,SI1,3,5479
6077,1.21,Premium,4,F,SI2,2,5243
6078,0.3,Ideal,5,G,VS2,5,545
6079,0.77,Good,2,F,VS2,5,2911
6080,0.72,Premium,4,D,SI1,3,2757
6081,1.28,Very Good,3,G,VS1,4,8895
6082,0.74,Ideal,5,H,VS1,4,3254
6083,0.32,Ideal,5,H,VVS1,7,708
6084,0.9,Premium,4,I,SI2,2,2948
6085,0.4,Very Good,3,E,SI1,3,882
6086,0.9,Very Good,3,E,VS2,5,4580
6087,0.38,Premium,4,I,SI2,2,641
6088,1.57,Very Good,3,I,VS1,4,10682
6089,0.55,Very Good,3,F,VS1,4,1975
6090,0.56,Ideal,5,H,VVS1,7,1961
6091,0.33,Very Good,3,E,VVS1,7,1103
6092,1,Good,2,F,SI1,3,4961
6093,0.35,Ideal,5,G,IF,8,1044
6094,0.31,Ideal,5,H,VS2,5,628
6095,1,Very Good,3,E,I1,1,3300
6096,1.14,Premium,4,H,SI1,3,5458
6097,0.71,Ideal,5,D,SI1,3,2764
6098,1.07,Premium,4,G,VS2,5,6355
6099,1.54,Premium,4,J,VVS2,6,8652
6100,0.5,Good,2,E,SI2,2,1000
6101,0.31,Premium,4,H,VS2,5,628
6102,1.51,Ideal,5,H,VS1,4,12071
6103,0.67,Very Good,3,F,VS2,5,2309
6104,0.38,Ideal,5,F,VVS2,6,1010
6105,0.74,Very Good,3,F,SI2,2,2261
6106,0.54,Ideal,5,F,VS1,4,1799
6107,0.76,Ideal,5,E,SI1,3,3584
6108,1.54,Ideal,5,E,VS2,5,14529
6109,0.32,Very Good,3,G,VVS1,7,876
6110,0.29,Very Good,3,E,VVS2,6,633
6111,0.28,Very Good,3,F,VVS1,7,642
6112,1.24,Premium,4,H,VS2,5,6962
6113,1.23,Premium,4,I,SI1,3,4133
6114,1.01,Fair,1,D,SI1,3,5628
6115,0.41,Very Good,3,F,SI2,2,647
6116,0.34,Very Good,3,H,VVS1,7,995
6117,0.32,Ideal,5,E,VS2,5,900
6118,0.33,Ideal,5,F,VVS1,7,1062
6119,0.34,Ideal,5,G,VS2,5,765
6120,0.23,Very Good,3,E,VVS1,7,530
6121,0.73,Very Good,3,F,SI1,3,2879
6122,1.04,Premium,4,G,SI1,3,5017
6123,0.72,Ideal,5,E,SI1,3,2907
6124,0.32,Premium,4,G,SI2,2,421
6125,2.01,Fair,1,I,SI2,2,10711
6126,0.52,Ideal,5,G,SI1,3,1338
6127,0.31,Good,2,G,SI1,3,462
6128,1.01,Fair,1,I,SI1,3,3280
6129,1.09,Very Good,3,F,IF,8,10663
6130,1.16,Premium,4,G,SI1,3,5366
6131,1,Good,2,H,SI1,3,4568
6132,0.23,Very Good,3,E,VVS1,7,530
6133,0.24,Premium,4,H,VVS1,7,554
6134,1,Premium,4,H,SI1,3,4788
6135,1.02,Premium,4,F,SI1,3,5484
6136,1,Ideal,5,E,I1,1,3584
6137,0.3,Ideal,5,F,VS2,5,605
6138,0.58,Ideal,5,D,VVS1,7,3154
6139,0.35,Ideal,5,E,VS1,4,921
6140,0.36,Ideal,5,I,VVS1,7,607
6141,1.01,Ideal,5,H,SI1,3,4680
6142,0.59,Ideal,5,D,SI2,2,1572
6143,1,Very Good,3,G,VS1,4,6867
6144,0.4,Very Good,3,D,SI1,3,720
6145,0.51,Ideal,5,G,IF,8,2096
6146,0.92,Good,2,H,VS2,5,4247
6147,0.33,Ideal,5,D,VVS2,6,955
6148,0.4,Very Good,3,E,VS2,5,814
6149,0.7,Good,2,H,VVS1,7,2877
6150,0.51,Good,2,D,SI1,3,1574
6151,0.91,Ideal,5,G,VS2,5,4257
6152,1.01,Very Good,3,E,VS2,5,6516
6153,1,Very Good,3,F,VS2,5,7343
6154,0.4,Ideal,5,E,VVS2,6,1238
6155,0.3,Very Good,3,G,VVS2,6,684
6156,0.52,Ideal,5,I,SI2,2,1125
6157,1.53,Premium,4,F,VS2,5,13423
6158,1.62,Very Good,3,H,VS2,5,11427
6159,1.21,Premium,4,F,SI2,2,4740
6160,1.07,Ideal,5,G,VVS2,6,8145
6161,0.41,Very Good,3,I,VVS2,6,1061
6162,1.24,Premium,4,D,SI2,2,5382
6163,1.02,Ideal,5,I,SI2,2,4113
6164,1.51,Fair,1,F,SI2,2,8287
6165,0.38,Premium,4,G,SI1,3,855
6166,0.32,Premium,4,E,VVS2,6,1080
6167,1.22,Premium,4,I,VS1,4,6121
6168,1.15,Premium,4,F,SI2,2,5120
6169,0.4,Ideal,5,E,SI1,3,737
6170,0.72,Ideal,5,H,VS1,4,3274
6171,1.77,Premium,4,I,VS1,4,13085
6172,1.18,Ideal,5,I,VVS1,7,6378
6173,2,Premium,4,G,SI2,2,13007
6174,0.43,Ideal,5,G,VS1,4,943
6175,0.53,Very Good,3,E,VS2,5,1607
6176,0.31,Premium,4,I,SI1,3,523
6177,1.07,Premium,4,G,VS1,4,6730
6178,0.37,Ideal,5,H,VVS1,7,815
6179,0.92,Good,2,D,SI2,2,3891
6180,0.73,Ideal,5,F,VS1,4,2835
6181,0.36,Ideal,5,G,VVS2,6,776
6182,1.07,Ideal,5,E,SI2,2,4564
6183,0.31,Ideal,5,D,VS2,5,942
6184,0.53,Ideal,5,H,SI2,2,1020
6185,0.41,Ideal,5,F,SI1,3,969
6186,0.71,Very Good,3,H,VS1,4,2423
6187,2.02,Premium,4,D,SI2,2,12108
6188,0.51,Premium,4,H,VS2,5,1359
6189,0.29,Very Good,3,I,VS2,5,384
6190,0.33,Very Good,3,D,VS2,5,660
6191,0.73,Premium,4,G,VS1,4,2770
6192,0.32,Premium,4,H,VS2,5,648
6193,0.34,Premium,4,G,VS2,5,765
6194,0.71,Very Good,3,E,SI2,2,2313
6195,1.01,Good,2,G,SI2,2,3895
6196,1.01,Very Good,3,H,VS2,5,5050
6197,1.02,Premium,4,H,VS1,4,4827
6198,0.32,Premium,4,E,SI1,3,720
6199,0.71,Ideal,5,I,VS1,4,2397
6200,1,Ideal,5,F,VVS1,7,10058
6201,0.37,Ideal,5,F,SI1,3,747
6202,0.37,Premium,4,I,VVS1,7,681
6203,1.55,Ideal,5,E,SI1,3,13171
6204,0.7,Fair,1,D,SI1,3,2339
6205,0.31,Very Good,3,F,VS2,5,583
6206,0.54,Ideal,5,H,IF,8,2210
6207,0.41,Very Good,3,J,IF,8,1061
6208,0.38,Premium,4,D,VVS2,6,1257
6209,1.08,Ideal,5,G,SI2,2,4814
6210,0.36,Premium,4,E,SI2,2,505
6211,2.06,Good,2,H,SI2,2,16512
6212,0.39,Ideal,5,F,VS1,4,902
6213,1.06,Premium,4,H,VS1,4,5549
6214,1.21,Very Good,3,G,VVS2,6,9484
6215,2.02,Premium,4,J,VS2,5,13687
6216,1.51,Ideal,5,H,SI1,3,7678
6217,0.32,Ideal,5,H,VVS1,7,708
6218,1.23,Premium,4,J,VS2,5,5504
6219,0.23,Good,2,D,VVS1,7,425
6220,0.84,Very Good,3,F,SI1,3,2885
6221,0.31,Ideal,5,D,VS2,5,656
6222,1.58,Ideal,5,H,SI1,3,10738
6223,2.14,Very Good,3,J,VS2,5,14065
6224,0.32,Ideal,5,I,VS2,5,466
6225,0.91,Ideal,5,E,VVS1,7,9636
6226,0.4,Very Good,3,G,VS1,4,822
6227,0.52,Ideal,5,F,SI2,2,1121
6228,0.51,Ideal,5,G,VS1,4,1656
6229,1.21,Premium,4,J,VVS2,6,5572
6230,0.3,Ideal,5,E,VS2,5,844
6231,0.71,Fair,1,J,VS2,5,1435
6232,0.73,Ideal,5,E,SI2,2,2431
6233,0.7,Very Good,3,F,SI1,3,2312
6234,0.38,Ideal,5,G,VVS2,6,879
6235,1,Good,2,F,SI2,2,3265
6236,0.52,Premium,4,H,SI1,3,1138
6237,0.71,Premium,4,I,SI1,3,2173
6238,0.31,Ideal,5,D,VVS2,6,853
6239,0.52,Ideal,5,G,IF,8,2164
6240,0.76,Premium,4,E,VS2,5,3107
6241,0.5,Ideal,5,D,SI1,3,1623
6242,1.34,Very Good,3,J,SI2,2,5335
6243,1,Good,2,E,VS1,4,7260
6244,0.31,Good,2,H,VS2,5,586
6245,0.53,Very Good,3,J,VS2,5,1023
6246,0.33,Ideal,5,I,SI1,3,572
6247,0.73,Very Good,3,F,VS1,4,2843
6248,0.33,Ideal,5,E,VS1,4,1002
6249,0.91,Ideal,5,F,SI2,2,3196
6250,0.31,Premium,4,H,VVS1,7,786
6251,0.9,Ideal,5,H,SI2,2,3770
6252,0.37,Very Good,3,F,VS2,5,746
6253,0.74,Ideal,5,F,VS1,4,3593
6254,0.77,Ideal,5,F,SI1,3,3702
6255,1.7,Premium,4,E,VS2,5,18342
6256,0.3,Premium,4,I,VVS1,7,552
