,carat,cut,cut_ord,color,clarity,clarity_ord
678,1.3,Premium,4,H,SI1,3
679,1.71,Ideal,5,G,VS1,4
680,0.52,Ideal,5,D,VS2,5
681,0.33,Ideal,5,H,VVS1,7
682,1,Very Good,3,E,VVS2,6
683,0.5,Premium,4,F,VS1,4
684,0.91,Very Good,3,F,SI1,3
685,1.21,Ideal,5,G,VS1,4
686,0.51,Ideal,5,D,VS2,5
687,0.41,Premium,4,G,VVS2,6
688,0.94,Very Good,3,F,SI2,2
689,0.31,Premium,4,G,SI1,3
690,0.4,Ideal,5,D,VS2,5
691,1.12,Ideal,5,G,SI1,3
692,1,Good,2,E,SI1,3
693,1.48,Premium,4,H,SI2,2
694,0.32,Ideal,5,G,SI1,3
695,0.76,Good,2,G,IF,8
696,0.42,Ideal,5,D,SI1,3
697,0.5,Good,2,E,SI1,3
698,0.83,Very Good,3,J,VS2,5
699,0.32,Very Good,3,G,VS1,4
700,0.7,Ideal,5,H,VS1,4
701,0.73,Ideal,5,D,VS1,4
702,0.71,Very Good,3,D,VS1,4
703,0.35,Premium,4,F,SI1,3
704,0.42,Premium,4,H,SI1,3
705,0.81,Ideal,5,E,VS2,5
706,0.32,Ideal,5,E,VS2,5
707,0.85,Premium,4,I,I1,1
708,0.71,Good,2,F,SI1,3
709,0.32,Very Good,3,H,VVS2,6
710,1.09,Premium,4,H,SI1,3
711,0.35,Premium,4,D,VS2,5
712,0.82,Premium,4,G,SI2,2
713,1.03,Premium,4,H,SI1,3
714,0.5,Fair,1,H,VS1,4
715,0.8,Ideal,5,H,VS2,5
716,1.12,Premium,4,J,SI2,2
717,1.62,Premium,4,G,VS2,5
718,1.22,Ideal,5,H,SI1,3
719,0.52,Ideal,5,F,VVS1,7
720,1.11,Good,2,I,VS2,5
721,0.31,Very Good,3,F,SI1,3
722,0.42,Ideal,5,D,VS1,4
723,0.32,Ideal,5,H,VS2,5
724,0.9,Very Good,3,F,SI1,3
725,1.04,Ideal,5,H,SI1,3
726,0.35,Ideal,5,D,VS2,5
727,0.5,Fair,1,E,VS2,5
728,0.36,Very Good,3,D,SI1,3
729,0.3,Premium,4,D,SI2,2
730,0.7,Very Good,3,E,SI1,3
731,0.41,Very Good,3,G,VS1,4
732,0.4,Premium,4,D,VS2,5
733,1.1,Premium,4,E,SI2,2
734,0.74,Very Good,3,E,SI2,2
735,0.51,Ideal,5,F,VS2,5
736,0.27,Very Good,3,F,VVS1,7
737,1.01,Ideal,5,G,VS2,5
738,1.37,Very Good,3,I,SI2,2
739,1.01,Premium,4,H,SI1,3
740,0.39,Fair,1,E,SI1,3
741,0.51,Premium,4,E,SI1,3
742,0.5,Premium,4,G,VVS2,6
743,1.55,Ideal,5,G,SI2,2
744,0.3,Ideal,5,F,IF,8
745,2,Premium,4,D,SI2,2
746,0.35,Premium,4,J,VS1,4
747,0.33,Ideal,5,D,VS2,5
748,1,Very Good,3,G,VS2,5
749,0.93,Good,2,G,SI2,2
750,0.25,Premium,4,E,VVS2,6
751,0.7,Good,2,E,SI1,3
752,1.01,Ideal,5,F,VS2,5
753,0.53,Premium,4,E,VVS2,6
754,1.51,Premium,4,G,VS2,5
755,0.23,Very Good,3,F,VS1,4
756,0.38,Premium,4,F,VS2,5
757,0.3,Good,2,G,VVS2,6
758,0.3,Ideal,5,G,VS1,4
759,1.01,Good,2,I,SI1,3
760,0.8,Premium,4,E,SI1,3
761,0.7,Ideal,5,E,VS1,4
762,0.7,Good,2,G,VS1,4
763,1.26,Ideal,5,I,SI2,2
764,1.09,Ideal,5,G,VVS2,6
765,1,Very Good,3,I,SI2,2
766,0.6,Ideal,5,E,VS1,4
767,0.32,Premium,4,H,SI1,3
768,0.41,Ideal,5,D,VVS2,6
769,0.32,Premium,4,F,VS2,5
770,0.4,Very Good,3,E,VS1,4
771,3,Very Good,3,H,I1,1
772,0.56,Premium,4,E,VS2,5
773,0.9,Good,2,D,SI2,2
774,0.36,Ideal,5,H,VVS1,7
775,0.31,Very Good,3,E,VS2,5
776,1.19,Very Good,3,H,SI1,3
777,0.56,Ideal,5,G,VVS1,7
778,0.7,Premium,4,F,VS2,5
779,0.71,Premium,4,I,VVS1,7
780,0.52,Very Good,3,G,VVS1,7
781,0.33,Premium,4,D,SI2,2
782,0.34,Ideal,5,F,VS2,5
783,1.19,Very Good,3,D,VVS1,7
784,0.4,Premium,4,D,VS1,4
785,1.07,Very Good,3,G,VS2,5
786,1.61,Ideal,5,G,VS2,5
787,1,Premium,4,E,VS1,4
788,1.07,Ideal,5,G,SI1,3
789,0.41,Ideal,5,F,VS2,5
790,2.03,Premium,4,D,SI2,2
791,0.58,Ideal,5,J,VS1,4
792,0.8,Very Good,3,F,SI1,3
793,0.32,Ideal,5,H,VS2,5
794,0.7,Ideal,5,D,SI1,3
795,0.79,Premium,4,H,SI1,3
796,0.93,Very Good,3,I,VS2,5
797,0.37,Very Good,3,F,VS2,5
798,0.41,Premium,4,E,VS2,5
799,0.31,Ideal,5,D,SI2,2
800,0.7,Ideal,5,E,VS2,5
801,0.53,Ideal,5,D,VS2,5
802,0.3,Very Good,3,H,VS2,5
803,0.95,Very Good,3,E,SI2,2
804,0.41,Premium,4,F,VVS2,6
805,1.34,Premium,4,G,SI2,2
806,1,Very Good,3,D,SI1,3
807,0.42,Premium,4,D,VS1,4
808,0.41,Premium,4,E,VS1,4
809,0.5,Ideal,5,G,VVS1,7
810,0.46,Premium,4,I,SI2,2
811,0.35,Ideal,5,G,IF,8
812,0.82,Ideal,5,D,VS2,5
813,2.48,Very Good,3,F,SI2,2
814,0.35,Premium,4,J,VS1,4
815,1.52,Premium,4,D,SI2,2
816,1.07,Ideal,5,F,VVS2,6
817,0.61,Ideal,5,E,SI2,2
818,0.39,Very Good,3,G,VVS2,6
819,0.71,Premium,4,G,SI2,2
820,0.51,Fair,1,F,SI1,3
821,1.67,Ideal,5,D,SI1,3
822,1,Premium,4,G,I1,1
823,0.3,Good,2,F,VS2,5
824,1.22,Very Good,3,H,SI1,3
825,0.72,Ideal,5,F,VS2,5
826,0.94,Premium,4,E,SI1,3
827,0.51,Ideal,5,D,SI2,2
828,1.01,Very Good,3,J,SI1,3
829,0.41,Premium,4,F,SI2,2
830,0.3,Very Good,3,E,SI1,3
831,1.11,Premium,4,I,SI2,2
832,0.5,Ideal,5,E,SI1,3
833,1.2,Good,2,J,VS2,5
834,0.56,Ideal,5,H,SI1,3
835,0.9,Premium,4,D,SI1,3
836,1,Fair,1,I,VS1,4
837,0.35,Ideal,5,I,VS1,4
838,0.31,Ideal,5,D,VS2,5
839,0.71,Very Good,3,E,VS2,5
840,0.3,Premium,4,G,VVS2,6
841,0.3,Ideal,5,E,VS1,4
842,1,Very Good,3,E,IF,8
843,0.3,Premium,4,G,VVS2,6
844,1.48,Ideal,5,E,SI2,2
845,1.5,Ideal,5,I,SI1,3
846,2.35,Premium,4,I,SI2,2
847,0.5,Good,2,D,SI1,3
848,0.38,Ideal,5,E,SI2,2
849,1.06,Ideal,5,G,VS1,4
850,0.33,Ideal,5,G,VS2,5
851,0.7,Fair,1,F,I1,1
852,0.3,Ideal,5,D,VS2,5
853,1.5,Good,2,I,SI2,2
854,0.34,Very Good,3,G,VVS1,7
855,0.59,Premium,4,D,VS1,4
856,0.81,Premium,4,G,SI1,3
857,0.55,Ideal,5,G,VVS2,6
858,0.31,Ideal,5,E,VS1,4
859,0.91,Good,2,G,VS2,5
860,0.4,Premium,4,H,SI1,3
861,0.81,Ideal,5,E,VS2,5
862,0.31,Ideal,5,F,IF,8
863,1.1,Premium,4,H,SI1,3
864,0.31,Very Good,3,H,VVS2,6
865,0.45,Ideal,5,G,VVS1,7
866,0.32,Ideal,5,D,VS2,5
867,0.32,Ideal,5,G,IF,8
868,0.31,Premium,4,J,SI1,3
869,1,Very Good,3,F,SI2,2
870,2.02,Premium,4,I,SI2,2
871,2.01,Premium,4,H,SI2,2
872,1.02,Very Good,3,F,SI1,3
873,1.16,Ideal,5,H,SI2,2
874,0.77,Very Good,3,H,SI1,3
875,0.59,Premium,4,I,IF,8
876,0.34,Premium,4,D,SI2,2
877,0.3,Good,2,I,IF,8
878,0.58,Ideal,5,I,SI1,3
879,0.52,Very Good,3,H,VS1,4
880,0.33,Premium,4,G,VVS1,7
881,1.38,Ideal,5,F,SI2,2
882,0.71,Ideal,5,F,SI2,2
883,0.96,Fair,1,F,SI2,2
884,1.02,Ideal,5,E,VVS1,7
885,0.53,Good,2,E,VS2,5
886,0.9,Premium,4,D,SI2,2
887,0.34,Fair,1,F,I1,1
888,0.36,Very Good,3,H,VS2,5
889,0.83,Very Good,3,F,VS1,4
890,1.3,Premium,4,I,IF,8
891,1.02,Ideal,5,E,SI1,3
892,0.34,Ideal,5,E,VVS2,6
893,0.54,Good,2,G,VS1,4
894,0.56,Premium,4,G,VS1,4
895,2.37,Ideal,5,J,VS2,5
896,1.15,Ideal,5,H,SI2,2
897,0.4,Ideal,5,H,VS1,4
898,1.59,Ideal,5,G,VVS2,6
899,1.42,Very Good,3,G,VVS2,6
900,0.31,Ideal,5,E,VVS2,6
901,0.57,Ideal,5,F,IF,8
902,0.7,Premium,4,I,VS2,5
903,0.41,Very Good,3,H,SI1,3
904,0.55,Very Good,3,E,SI1,3
905,1.01,Ideal,5,D,VS2,5
906,0.24,Very Good,3,E,VVS2,6
907,0.3,Very Good,3,E,SI1,3
908,1.13,Ideal,5,F,SI1,3
909,0.72,Premium,4,H,SI1,3
910,0.52,Ideal,5,D,SI2,2
911,1,Very Good,3,D,SI1,3
912,0.47,Very Good,3,D,VS1,4
913,0.41,Ideal,5,D,SI2,2
914,0.51,Premium,4,G,SI1,3
915,1,Very Good,3,F,SI1,3
916,1.55,Good,2,H,VS2,5
917,0.71,Very Good,3,G,VS2,5
918,1.21,Ideal,5,G,VS2,5
919,1.95,Very Good,3,H,VS2,5
920,1.51,Premium,4,G,SI1,3
921,0.3,Premium,4,D,VS2,5
922,0.72,Very Good,3,D,VS2,5
923,0.31,Ideal,5,E,VVS2,6
924,0.53,Ideal,5,D,VS2,5
925,0.71,Very Good,3,G,SI2,2
926,1.07,Ideal,5,G,SI1,3
927,0.24,Very Good,3,E,VS1,4
928,1,Very Good,3,F,IF,8
929,0.55,Ideal,5,G,VS1,4
930,0.52,Ideal,5,E,VS2,5
931,0.72,Ideal,5,G,SI2,2
932,0.9,Good,2,G,SI1,3
933,0.41,Ideal,5,F,VS2,5
934,0.33,Ideal,5,G,SI1,3
935,0.56,Very Good,3,H,VS1,4
936,1.01,Very Good,3,F,SI2,2
937,0.46,Premium,4,F,VVS1,7
938,1.01,Very Good,3,I,SI1,3
939,0.3,Ideal,5,F,VS2,5
940,0.3,Premium,4,G,VS1,4
941,2.02,Very Good,3,H,SI2,2
942,0.32,Ideal,5,E,VVS2,6
943,0.35,Premium,4,I,VS1,4
944,0.34,Ideal,5,D,SI1,3
945,0.6,Ideal,5,G,VS1,4
946,0.41,Premium,4,I,VVS2,6
947,1.01,Fair,1,G,VS1,4
948,0.54,Ideal,5,H,VVS1,7
949,1.01,Premium,4,E,SI2,2
950,0.3,Ideal,5,H,VVS1,7
951,1.06,Premium,4,F,I1,1
952,0.7,Very Good,3,F,VS2,5
953,1.53,Very Good,3,F,SI1,3
954,0.82,Very Good,3,D,SI1,3
955,0.32,Ideal,5,G,VVS1,7
956,0.27,Very Good,3,F,VS1,4
957,0.8,Ideal,5,F,VS2,5
958,1.11,Ideal,5,G,VS1,4
959,0.71,Premium,4,G,VS2,5
960,0.61,Very Good,3,F,SI2,2
961,1.31,Very Good,3,F,VS1,4
962,0.71,Very Good,3,G,SI1,3
963,0.9,Premium,4,E,SI2,2
964,0.9,Premium,4,E,VS2,5
965,0.74,Ideal,5,E,VS2,5
966,0.3,Good,2,I,VS1,4
967,1,Very Good,3,F,VS1,4
968,0.3,Ideal,5,E,VS2,5
969,0.39,Good,2,E,VVS2,6
970,0.51,Premium,4,F,SI1,3
971,0.81,Ideal,5,E,SI2,2
972,1.62,Ideal,5,I,VS2,5
973,1.62,Premium,4,F,SI2,2
974,0.57,Very Good,3,E,VS2,5
975,0.33,Ideal,5,G,VVS1,7
976,0.42,Ideal,5,E,VS2,5
977,1.51,Premium,4,J,VS2,5
978,0.31,Ideal,5,D,VS2,5
979,1.01,Very Good,3,G,SI1,3
980,0.41,Good,2,E,VVS1,7
981,0.7,Premium,4,F,SI1,3
982,0.9,Good,2,H,SI2,2
983,1.75,Good,2,D,SI1,3
984,0.36,Ideal,5,F,SI1,3
985,0.31,Ideal,5,F,IF,8
986,0.8,Very Good,3,D,SI1,3
987,0.32,Good,2,E,VS1,4
988,1.01,Good,2,F,VS2,5
989,0.72,Premium,4,I,SI1,3
990,0.71,Very Good,3,G,VS2,5
991,1.09,Ideal,5,E,SI2,2
992,0.63,Very Good,3,G,VS1,4
993,0.51,Ideal,5,D,VS1,4
994,1.01,Very Good,3,G,VS2,5
995,1.59,Premium,4,H,SI2,2
996,0.54,Premium,4,F,VS1,4
997,0.28,Very Good,3,G,VVS2,6
998,0.54,Very Good,3,G,VVS1,7
999,1.52,Ideal,5,H,SI1,3
1000,1.13,Ideal,5,I,VS2,5
1001,1.07,Ideal,5,G,VS2,5
1002,0.31,Ideal,5,H,VS2,5
1003,0.7,Ideal,5,G,VS2,5
1004,0.33,Ideal,5,H,VVS1,7
1005,1.65,Fair,1,J,SI1,3
1006,0.54,Ideal,5,G,VVS2,6
1007,0.71,Very Good,3,F,VS2,5
1008,0.7,Very Good,3,G,VS2,5
1009,2.05,Premium,4,H,VS2,5
1010,1,Good,2,G,SI1,3
1011,1.65,Ideal,5,G,VS2,5
1012,0.37,Good,2,H,VS2,5
1013,1.15,Premium,4,E,SI2,2
1014,0.57,Ideal,5,H,VS2,5
1015,0.72,Very Good,3,J,SI1,3
1016,0.71,Ideal,5,D,SI1,3
1017,0.7,Very Good,3,F,SI1,3
1018,1.38,Very Good,3,F,VS1,4
1019,0.73,Ideal,5,E,VVS2,6
1020,0.39,Very Good,3,E,VVS2,6
1021,2.14,Premium,4,D,SI2,2
1022,1.12,Very Good,3,E,VS2,5
1023,0.36,Very Good,3,D,SI1,3
1024,0.42,Very Good,3,D,VS1,4
1025,0.5,Ideal,5,I,SI1,3
1026,2,Premium,4,J,VS2,5
1027,0.3,Premium,4,F,VS2,5
1028,1.35,Premium,4,H,VS1,4
1029,1.57,Premium,4,G,SI1,3
1030,0.31,Premium,4,G,VS2,5
1031,0.33,Premium,4,E,VS2,5
1032,1.02,Premium,4,H,SI1,3
1033,1.01,Premium,4,G,VS2,5
1034,0.83,Ideal,5,H,SI2,2
1035,0.43,Very Good,3,G,SI1,3
1036,1.2,Premium,4,H,SI2,2
1037,1.01,Ideal,5,E,VS2,5
1038,1.23,Ideal,5,I,SI2,2
1039,0.53,Ideal,5,I,SI1,3
1040,1,Ideal,5,H,SI2,2
1041,0.4,Very Good,3,E,IF,8
1042,0.71,Premium,4,J,VVS2,6
1043,1.33,Very Good,3,H,SI2,2
1044,0.43,Very Good,3,G,SI2,2
1045,0.31,Very Good,3,G,VS1,4
1046,1.21,Ideal,5,J,SI1,3
1047,1.55,Premium,4,I,VS2,5
1048,0.8,Ideal,5,F,VS2,5
1049,0.71,Good,2,I,SI1,3
1050,0.46,Fair,1,G,VS2,5
1051,0.3,Ideal,5,I,SI1,3
1052,1.21,Good,2,J,VVS2,6
1053,2.14,Ideal,5,I,SI2,2
1054,0.7,Good,2,I,SI2,2
1055,1.03,Ideal,5,H,SI1,3
1056,1.06,Very Good,3,E,SI1,3
1057,1.41,Ideal,5,J,VS1,4
1058,0.3,Premium,4,H,VS1,4
1059,0.79,Very Good,3,I,SI1,3
1060,0.37,Good,2,H,SI1,3
1061,0.62,Premium,4,G,SI1,3
1062,0.7,Very Good,3,I,VS2,5
1063,0.39,Very Good,3,E,VVS2,6
1064,1.12,Premium,4,G,VVS2,6
1065,1.14,Very Good,3,E,IF,8
1066,0.9,Ideal,5,H,VS1,4
1067,0.5,Very Good,3,D,SI2,2
1068,0.75,Ideal,5,D,SI2,2
1069,0.38,Ideal,5,F,VVS2,6
1070,1.07,Good,2,J,VS2,5
1071,0.34,Very Good,3,D,SI2,2
1072,1.25,Ideal,5,E,SI2,2
1073,0.9,Fair,1,F,SI1,3
1074,2.74,Very Good,3,J,SI2,2
1075,0.71,Very Good,3,E,VS2,5
1076,0.33,Ideal,5,G,VS1,4
1077,0.91,Very Good,3,H,VS2,5
1078,0.33,Very Good,3,G,VVS2,6
1079,0.4,Very Good,3,E,SI1,3
1080,1.11,Premium,4,F,SI1,3
1081,0.24,Good,2,F,VVS1,7
1082,1.01,Very Good,3,G,SI1,3
1083,0.31,Very Good,3,H,VS1,4
1084,0.34,Very Good,3,F,VVS2,6
1085,0.64,Ideal,5,E,VS1,4
1086,1.01,Very Good,3,F,SI2,2
1087,0.7,Very Good,3,F,SI1,3
1088,1.11,Very Good,3,J,SI1,3
1089,0.7,Very Good,3,E,VS1,4
1090,0.43,Ideal,5,G,VS1,4
1091,0.91,Ideal,5,G,VS1,4
1092,0.94,Very Good,3,D,SI2,2
1093,0.3,Premium,4,G,IF,8
1094,0.31,Ideal,5,D,VS2,5
1095,1.51,Very Good,3,G,VS2,5
1096,1.04,Premium,4,D,VS1,4
1097,0.38,Ideal,5,H,VS1,4
1098,1.01,Good,2,F,VS2,5
1099,0.5,Fair,1,G,VS1,4
1100,0.52,Ideal,5,G,SI2,2
1101,1.05,Ideal,5,J,VS1,4
1102,1.54,Ideal,5,G,VVS2,6
1103,1,Premium,4,I,VS1,4
1104,1.52,Very Good,3,H,SI1,3
1105,1.12,Very Good,3,F,SI1,3
1106,0.73,Ideal,5,G,VS1,4
1107,1.08,Good,2,G,SI2,2
1108,0.36,Ideal,5,F,VS2,5
1109,1.01,Ideal,5,F,VS1,4
1110,0.55,Ideal,5,H,SI1,3
1111,0.9,Good,2,G,VS2,5
1112,0.43,Ideal,5,G,VVS1,7
1113,0.54,Ideal,5,I,SI2,2
1114,0.6,Premium,4,E,SI1,3
1115,1.2,Premium,4,H,SI1,3
1116,0.53,Good,2,F,VVS2,6
1117,3.01,Fair,1,H,I1,1
1118,0.58,Ideal,5,H,SI1,3
1119,0.63,Ideal,5,D,SI1,3
1120,0.52,Premium,4,I,VVS1,7
1121,1.07,Very Good,3,G,VS1,4
1122,0.3,Very Good,3,G,VVS1,7
1123,1.13,Good,2,F,SI2,2
1124,0.51,Good,2,H,VS2,5
1125,0.23,Good,2,E,VVS2,6
1126,0.46,Ideal,5,E,VVS1,7
1127,0.33,Ideal,5,E,SI1,3
1128,2.05,Premium,4,E,SI2,2
1129,0.3,Very Good,3,H,VS1,4
1130,0.69,Fair,1,G,VS1,4
1131,0.3,Ideal,5,F,IF,8
1132,0.41,Ideal,5,D,SI2,2
1133,0.9,Ideal,5,G,SI2,2
1134,0.41,Premium,4,F,VS1,4
1135,1.01,Very Good,3,E,VS2,5
1136,0.57,Very Good,3,G,SI1,3
1137,1.22,Very Good,3,H,VS1,4
1138,0.31,Premium,4,F,I1,1
1139,0.73,Ideal,5,E,VS2,5
1140,0.53,Ideal,5,G,VS2,5
1141,0.3,Very Good,3,D,VS2,5
1142,0.53,Very Good,3,D,VS1,4
1143,0.71,Very Good,3,H,SI1,3
1144,0.54,Premium,4,E,VS2,5
1145,0.41,Premium,4,E,VS1,4
1146,0.9,Ideal,5,E,SI2,2
1147,1.03,Very Good,3,F,SI2,2
1148,1.08,Premium,4,F,SI1,3
1149,0.32,Premium,4,D,VVS1,7
1150,0.43,Good,2,E,SI1,3
1151,0.7,Ideal,5,H,SI1,3
1152,0.74,Ideal,5,F,VVS1,7
1153,1.5,Premium,4,G,VVS2,6
1154,0.34,Ideal,5,F,VVS1,7
1155,0.57,Ideal,5,G,VS1,4
1156,1,Good,2,F,SI1,3
1157,0.7,Ideal,5,F,VS2,5
1158,1.01,Ideal,5,E,SI1,3
1159,0.25,Premium,4,H,VVS1,7
1160,0.53,Ideal,5,E,VVS1,7
1161,0.96,Very Good,3,E,VS2,5
1162,1.25,Ideal,5,H,VS2,5
1163,0.73,Ideal,5,E,SI2,2
1164,0.34,Very Good,3,E,SI1,3
1165,0.74,Premium,4,D,SI1,3
1166,1.11,Very Good,3,H,SI1,3
1167,0.54,Ideal,5,E,VVS2,6
1168,0.95,Very Good,3,G,VS1,4
1169,0.41,Ideal,5,I,VVS1,7
1170,0.28,Very Good,3,H,VVS1,7
1171,0.34,Premium,4,H,VVS1,7
1172,1.64,Premium,4,G,VS2,5
1173,0.71,Ideal,5,I,IF,8
1174,0.74,Very Good,3,D,VS2,5
1175,0.74,Ideal,5,G,VVS2,6
1176,0.6,Premium,4,H,SI1,3
1177,0.44,Ideal,5,D,VS1,4
1178,0.79,Very Good,3,F,SI1,3
1179,0.58,Ideal,5,I,SI1,3
1180,1,Good,2,E,VVS2,6
1181,0.34,Ideal,5,G,VS1,4
1182,0.31,Premium,4,F,VVS1,7
1183,0.31,Good,2,E,SI1,3
1184,1.81,Very Good,3,I,VS1,4
1185,0.3,Premium,4,G,VS1,4
1186,2.19,Premium,4,J,SI2,2
1187,0.91,Ideal,5,G,SI2,2
1188,0.37,Ideal,5,G,VS2,5
1189,1.57,Premium,4,G,VS2,5
1190,1,Premium,4,I,SI2,2
1191,1.09,Ideal,5,H,SI1,3
1192,0.31,Good,2,I,VS1,4
1193,0.5,Very Good,3,D,VS2,5
1194,0.41,Premium,4,E,VS1,4
1195,1.23,Ideal,5,H,SI1,3
1196,1.09,Premium,4,I,SI1,3
1197,0.4,Ideal,5,I,VS1,4
1198,0.42,Ideal,5,J,VS1,4
1199,1.02,Ideal,5,G,SI1,3
1200,1,Very Good,3,F,SI2,2
1201,0.26,Very Good,3,G,VS2,5
1202,0.23,Good,2,G,VVS1,7
1203,0.46,Premium,4,I,IF,8
1204,0.4,Good,2,E,SI2,2
1205,2.05,Ideal,5,G,SI2,2
1206,0.41,Ideal,5,E,VVS1,7
1207,2.03,Ideal,5,J,VS2,5
1208,2.28,Ideal,5,I,SI2,2
1209,0.72,Very Good,3,F,VVS1,7
1210,1.52,Good,2,I,VS2,5
1211,1.51,Premium,4,F,VS2,5
1212,1.14,Very Good,3,J,SI1,3
1213,0.51,Ideal,5,F,VS1,4
1214,0.3,Ideal,5,I,SI2,2
1215,0.31,Premium,4,G,VS2,5
1216,1.5,Very Good,3,D,SI1,3
1217,0.52,Ideal,5,E,VS2,5
1218,0.7,Fair,1,D,SI1,3
1219,0.3,Ideal,5,E,VVS1,7
1220,0.5,Fair,1,F,SI1,3
1221,1.54,Premium,4,H,VS2,5
1222,1.2,Ideal,5,D,SI1,3
1223,0.79,Very Good,3,E,SI2,2
1224,1.2,Good,2,E,VS2,5
1225,2.01,Premium,4,E,SI1,3
1226,0.72,Very Good,3,H,VS1,4
1227,1.1,Very Good,3,E,SI2,2
1228,0.23,Very Good,3,E,VVS2,6
1229,0.94,Ideal,5,F,I1,1
1230,2.16,Very Good,3,H,SI2,2
1231,0.27,Very Good,3,E,VVS2,6
1232,0.35,Ideal,5,E,SI1,3
1233,0.38,Ideal,5,G,VS1,4
1234,1.21,Very Good,3,F,VS1,4
1235,0.3,Premium,4,E,VVS2,6
1236,0.56,Ideal,5,D,VS2,5
1237,0.3,Good,2,H,SI2,2
1238,1.01,Premium,4,D,SI1,3
1239,0.34,Ideal,5,D,VS2,5
1240,0.32,Premium,4,E,VVS1,7
1241,1.01,Very Good,3,D,SI2,2
1242,0.31,Premium,4,E,SI1,3
1243,0.51,Ideal,5,G,SI1,3
1244,0.36,Premium,4,E,VS1,4
1245,0.5,Premium,4,D,SI1,3
1246,0.21,Premium,4,E,SI2,2
1247,0.9,Very Good,3,H,SI1,3
1248,1.03,Premium,4,E,SI2,2
1249,0.37,Ideal,5,F,SI1,3
1250,0.5,Premium,4,F,SI1,3
1251,1.01,Very Good,3,G,VS1,4
1252,0.84,Good,2,G,VS2,5
1253,0.76,Very Good,3,G,VS2,5
1254,0.23,Very Good,3,E,VVS1,7
1255,1.03,Premium,4,H,VS2,5
1256,0.9,Good,2,I,VS2,5
1257,0.32,Ideal,5,F,VVS1,7
1258,0.55,Ideal,5,F,VS2,5
1259,1.55,Premium,4,G,SI1,3
1260,0.35,Ideal,5,D,VS2,5
1261,1.51,Very Good,3,G,VS1,4
1262,0.38,Ideal,5,F,VS2,5
1263,0.33,Very Good,3,I,VVS2,6
1264,0.31,Ideal,5,G,IF,8
1265,0.3,Ideal,5,F,VS2,5
1266,1.22,Ideal,5,H,VS1,4
1267,0.4,Premium,4,F,VS1,4
1268,1.51,Very Good,3,J,I1,1
1269,1.01,Good,2,F,SI2,2
1270,0.51,Good,2,E,SI1,3
1271,0.32,Premium,4,F,VVS1,7
1272,1.28,Ideal,5,H,SI2,2
1273,0.33,Ideal,5,D,SI2,2
1274,1.11,Ideal,5,E,VS2,5
1275,2.21,Premium,4,G,SI2,2
1276,0.43,Good,2,F,SI1,3
1277,0.7,Premium,4,G,IF,8
1278,0.25,Very Good,3,F,IF,8
1279,0.5,Good,2,H,VS2,5
1280,0.24,Good,2,F,VS1,4
1281,0.3,Premium,4,E,SI1,3
1282,1.11,Very Good,3,H,SI2,2
1283,1.02,Fair,1,I,SI2,2
1284,0.31,Ideal,5,G,VVS1,7
1285,0.39,Ideal,5,G,VS1,4
1286,0.5,Premium,4,E,VS2,5
1287,0.7,Ideal,5,F,SI1,3
1288,0.32,Very Good,3,G,SI1,3
1289,0.3,Very Good,3,H,VS1,4
1290,0.41,Ideal,5,G,VVS2,6
1291,1.33,Fair,1,G,SI2,2
1292,0.3,Ideal,5,I,VVS1,7
1293,1.51,Premium,4,F,VS2,5
1294,0.38,Ideal,5,F,VVS1,7
1295,0.23,Very Good,3,D,VS2,5
1296,0.74,Ideal,5,G,VS2,5
1297,1.2,Very Good,3,H,SI2,2
1298,1.52,Ideal,5,G,SI1,3
1299,1.01,Ideal,5,G,VS2,5
1300,0.44,Ideal,5,E,VS2,5
1301,1.2,Premium,4,G,SI1,3
1302,1.3,Good,2,J,SI2,2
1303,0.31,Premium,4,H,SI1,3
1304,1.2,Ideal,5,G,VVS2,6
1305,0.79,Premium,4,D,SI1,3
1306,1.05,Ideal,5,F,VVS1,7
1307,0.7,Premium,4,G,SI2,2
1308,0.3,Very Good,3,J,VS2,5
1309,1.25,Ideal,5,G,VVS2,6
1310,2.07,Very Good,3,J,VS2,5
1311,1.52,Premium,4,F,VS2,5
1312,0.31,Ideal,5,G,VS2,5
1313,0.94,Ideal,5,F,SI2,2
1314,0.27,Very Good,3,E,VS2,5
1315,0.32,Ideal,5,G,IF,8
1316,0.35,Ideal,5,F,VS1,4
1317,1.2,Ideal,5,F,VVS1,7
1318,1.51,Premium,4,E,SI1,3
1319,0.4,Ideal,5,G,VS2,5
1320,0.33,Premium,4,G,VVS2,6
1321,1.51,Very Good,3,I,IF,8
1322,0.72,Premium,4,J,I1,1
1323,0.84,Very Good,3,G,VS2,5
1324,1.06,Very Good,3,F,SI1,3
1325,1.01,Premium,4,F,VS2,5
1326,0.38,Ideal,5,F,VVS2,6
1327,0.72,Ideal,5,H,VS1,4
1328,1.61,Very Good,3,E,SI2,2
1329,1.5,Very Good,3,J,VS1,4
1330,0.78,Good,2,J,SI1,3
1331,0.69,Fair,1,G,SI2,2
1332,0.32,Ideal,5,E,VS2,5
1333,0.51,Ideal,5,H,VVS2,6
1334,0.34,Ideal,5,F,VS1,4
1335,1.49,Very Good,3,F,I1,1
1336,0.5,Premium,4,F,VS1,4
1337,0.9,Good,2,E,SI1,3
1338,2.2,Premium,4,J,VS1,4
1339,0.51,Premium,4,G,VVS2,6
1340,2.38,Premium,4,H,SI1,3
